"","Site","Lat/Long","2020-05-20","2020-05-27","2020-06-03","2020-06-10","2020-06-17","2020-06-24","2020-07-01","2020-07-08","2020-07-15","2020-07-22","2020-07-29","2020-08-05","2020-08-12","2020-08-19","2020-08-26","2020-09-02","2021-05-26","2021-06-02","2021-06-09","2021-06-16","2021-06-23","2021-06-30","2021-07-07","2021-07-14","2021-07-21","2021-07-28","2021-08-04","2021-08-11","2021-08-25","2022-05-25","2022-06-01","2022-06-08","2022-06-15","2022-06-22","2022-06-29","2022-07-06","2022-07-13","2022-07-20","2022-07-27","2022-08-03","2022-08-10","2022-08-17","2022-08-24","2022-08-31","2023-05-24","2023-05-31","2023-06-07","2023-06-14","2023-06-21","2023-06-28","2023-07-05","2023-07-12","2023-07-19","2023-07-26","2023-08-02","2023-08-09","2023-08-16","2023-08-23","2023-08-30","2024-05-22","2024-05-29","2024-06-05","2024-06-12","2024-06-19","2024-06-26","2024-07-03","2024-07-10","2024-07-17","2024-07-24","2024-07-31","2024-08-07","2024-08-14","2024-08-21","2024-08-28","2025-05-21","2025-05-28","2025-06-04","2025-06-11","2025-06-18","2025-06-25","2025-07-02","2025-07-09","2025-07-16","2025-07-23","2025-07-30","2025-08-06"
"1","Big Laurel","35°54'45.3""N 82°45'25.9""W","205.0","260.0","0.0","455.0","100.0","1155.0",NA,"205.0","50.0","100.0",NA,"260.0","155.0",NA,"155.0","490.0","50.0","100.0","315.0","205.0","365.0","420.0","430.0","50.0","205.0","50.0","100.0","0.0",NA,"205.0","155.0",NA,"865.0","50.0","205.0","360.0","370.0","100.0","375.0","260.0","605.0","915.0","155.0",NA,"100.0","155.0","0.0",NA,NA,NA,"0.0",NA,"50.0",NA,NA,"50.0",NA,"155.0","1310.0","38.4","93.4","36.8","21.1","95.9","14.5","248.9","410.6","25.3","156.5","185.0","16.0","10.9","137.4","62.0","-","435.0","50.0","50.0","375","265","4670","50.0","150.0","315","315","50.0"
"2","Cane Creek @ Fletcher Comm Park","35°25'26.1""N 82°29'49.8""W","32440.0","155.0","945.0","1165.0","725.0","490.0","610.0","605.0","550.0","1155.0","5560.0","2365.0","915.0","800.0","855.0","605.0","...","600.0","1750.0","550.0","315.0","430.0","605.0","205.0","375.0","1460.0","260.0","315.0","670.0","1985.0",NA,"375.0","315.0",NA,"1015.0",NA,"12405.0","1495.0","9780.0","675.0","6665.0","610.0","1045.0","1565.0","377.5",NA,"550.0","490.0","10935.0","790.0",NA,NA,NA,"800.0","205.0","490.0","1295.0","260.0","3105.0","238.2","410.6","920.8","547.5","186.0","238.2","488.4","387.3","1732.9","1046.2","2419.6","387.3","547.5","307.6","204.6","3690","1720","265","685","10025","205","2140","155.0","1140","4795","855","605"
"3","FB at Barnard","35°50'19.5""N 82°45'16.4""W","2480.0","205.0","50.0","2325.0","205.0","430.0","50.0","655.0","100.0","545.0","315.0","1395.0","155.0",NA,"2140.0","1205.0","0.0","0.0","315.0","100.0","100.0","50.0","100.0","315.0","425.0","425.0","255.0","995.0",NA,"1140.0","150.0",NA,"945.0","0.0",NA,NA,"1005.0",NA,"490.0",NA,"1475.0",NA,"260.0","155.0",NA,NA,NA,NA,"605.0","100.0","155.0","725.0","205.0","0.0","50.0","600.0","730.0","50.0","905.0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","FB at Bent Creek River Park","35°30'06.1""N 82°35'32.6""W","2645.0","260.0","315.0","155.0","425.0","155.0","865.0","670.0","155.0","2160.0","1425.0","5230.0","155.0","605.0","540.0","720.0","50.0","0.0","260.0","100.0","425.0","490.0","100.0","100.0","430.0","1005.0","545.0","317.5","205.0","1635.0","150.0","205.0","260.0","0.0","100.0","4180.0","375.0","2325.0","315.0","485.0","1920.0","1155.0","260.0","155.0","50.0","50.0","100.0","50.0","2050.0","50.0",NA,"0.0","50.0","50.0","100.0","50.0","155.0","50.0","2215.0",NA,"143.9","231.0","68.3","260","37.3",NA,"124.6","1413.6","980.4","2419.6",NA,"88.0","48.8",NA,"320","2520","100.0","4425","265.0","50.0","1865","370","430","2175","-","-"
"5","FB at Champion Park in Rosman","35°08'42.3""N 82°49'33.0""W","1165.0","260.0","50.0","1005.0","315.0","100.0","50.0",NA,"150.0","260.0","205.0","315.0","315.0","3745.0","260.0","260.0","50.0","100.0","935.0","100.0","100.0","315.0","0.0","2100.0","50.0","150.0","0.0","1310.0","260.0","355.0","50.0","865.0","100.0","0.0","0.0","2970.0","315.0","0.0","0.0","100.0","725.0",NA,NA,"0.0","50.0",NA,"0.0","50.0","2690.0",NA,"2630.0",NA,"9250.0","50.0",NA,"100.0","50.0","0.0","430.0",NA,"39.5","547.5","30.9","67.6","85.7",NA,"107.6","87.8","686.7","98.5","21.4","70.3","23.3",NA,"5065","555","50.0","50.0","2800","155","2355","50.0","2440","725","-","50.0"
"6","FB at Glen Bridge Rv Park","35°27'03.3""N 82°33'18.5""W","2480.0","730.0","365.0","430.0","365.0",NA,NA,NA,"260.0",NA,NA,NA,"420.0","925.0","430.0","485.0","100.0","205.0","315.0",NA,"370.0","675.0","50.0","100.0","720.0","1655.0","670.0","205.0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","FB at Hap Simpson","35°13'03.3""N 82°43'11.3""W","3585.0","605.0","260.0","545.0","370.0","480.0","490.0","1055.0","485.0","1015.0","420.0","800.0","430.0","600.0","925.0","550.0","205.0","545.0","2770.0","550.0","155.0","1680.0","260.0","4795.0","720.0","480.0","935.0","610.0","150.0","1245.0","310.0","205.0","205.0","100.0","550.0","1310.0","660.0","590.0",NA,"2175.0","545.0","730.0","800.0",NA,"260.0","260.0","205.0","100.0","1920.0",NA,NA,NA,"13015.0","1395.0","260.0","375.0","935.0","260.0","2865.0","193.5","410.6","488.4","275.5","686.7","1732.9","261.3","613.1","1203.3","2419.6","547.5","488.4","1732.9","224.7","206.4","2265","2145","155","620","-","375","-","50.0","50.0","550.0","2050","675.0"
"8","FB at Hominy Creek Park","35°33'19.0""N 82°35'27.3""W","3945.0","315.0","375.0","425.0","595.0","480.0","100.0","1065.0","260.0","610.0","915.0","8615.0","260.0","3945.0","8910.0","1230.0","255.0","100.0","965.0","205.0","740.0","1080.0","305.0","100.0","1005.0","670.0","50.0","3120.0","155.0","1590.0","155.0","155.0","205.0","0.0","50.0","3100.0","11120.0","7985.0","205.0","365.0","1460.0","6110.0","0.0","155.0","155.0","155.0","150.0",NA,"1555.0","155.0","855.0","150.0","865.0",NA,"50.0","545.0","605.0","50.0","3250.0","201.4","488.4","1553.1","98.4","98.5","30.1","65.0","2419.6","461.1","980.4","2419.6","109.5","131.4","81.3","45.0","1330.0","685","50.0","1720","375","945","1155","600","155.0","1565","3795","425"
"9","FB at Horseshoe Boat Access","35°20'39.1""N 82°33'40.0""W","1460.0","1065.0","100.0","155.0","315.0",NA,"800.0","1005.0","875.0","3585.0","1155.0","935.0","725.0","155.0","2880.0","550.0","100.0","260.0","740.0","485.0","205.0","670.0","260.0","995.0","490.0","925.0",NA,NA,NA,NA,"50.0","50.0","155.0","315.0","610.0","425.0","490.0","155.0","1615.0","100.0","490.0","800.0","430.0",NA,"260.0","315.0","205.0","318.0","7500.0","205.0","610.0","205.0","3010.0","50.0","315.0","425.0","205.0","375.0","2520.0","123.6","387.3","435.2","98.8","218.7","93.3","155.3","517.2","920.8","2419.6",NA,"350.0","1119.9","105.0","58.8","555","1035","100.0","50.0","435","150","855","100.0","2285","205","3990","800.0"
"10","FB at Hot Springs","35°53'49.6""N 82°49'32.3""W","4525.0","100.0","0.0","315.0","50.0","540.0","155.0","260.0","50.0","100.0","100.0","1080.0","100.0","155.0","805.0","1055.0","100.0","0.0","490.0","0.0","150.0","50.0","0.0","100.0","545.0","790.0","155.0","365.0",NA,"995.0","315.0","0.0","935.0","0.0","50.0","155.0","260.0","255.0","420.0","50.0","205.0","420.0",NA,"50.0","0.0","205.0","0.0","50.0","155.0","100.0","0.0","50.0","205.0","0.0","0.0","155.0","260.0","50.0","480.0","110.6","79.4","48.8","9.8","30.5","72.3","61.3","240.0","48.7","217.8","178.5","72.8","16.9","24.1","7.4","2215","960","50.0","50.0","555","100.0","2605","100.0","155.0","0.0","310","1965"
"11","FB at Ledges Whitewater Park","35°41'07.1""N 82°37'03.4""W","2600.0","375.0",NA,"205.0",NA,"50.0","0.0","150.0","100.0","740.0","150.0","1750.0","205.0",NA,"310.0","480.0","...","155.0","205.0","100.0","155.0","315.0","100.0","0.0","535.0","800.0",NA,"660.0",NA,NA,NA,"260.0","100.0","100.0","50.0",NA,"4285.0",NA,"595.0","50.0","605.0","740.0","200.0","260.0",NA,"260.0","0.0",NA,NA,"100.0","155.0","0.0","985.0","50.0","100.0","155.0","205.0",NA,NA,"82.0","93.4","344.8","28.5",NA,"18.3","39.3","46.7","1299.7","1046.2","1986.3","116.9","61.6","47.9","0.0","-","-","100.0","620","-","-","-","425","315","720","1680","740"
"12","FB at Pearson Bridge","35°36'31.0""N 82°34'41.6""W","3385.0","150.0","155.0","260.0","490.0","260.0","200.0","480.0","260.0","430.0","595.0","1505.0","310.0","2185.0","1140.0","660.0","260.0","100.0","260.0","0.0","205.0","375.0","205.0","155.0","720.0","315.0","100.0","1345.0","205.0","1005.0","50.0","205.0","365.0","100.0","0.0","2110.0","5890.0","605.0","430.0","100.0","790.0","600.0","315.0","365.0","50.0","155.0","100.0","150.0","2070.0","100.0","100.0","50.0","1055.0",NA,"50.0","50.0","205.0","155.0","1920.0","98.7","104.3","249.5","64.5","90.8","33.7","116.9","686.7","1986.3","2560.0","2419.6","95.8","83.0","117.8","50.4","1295","820.0","50.0","820","1820","555","865","150","725","740","7195","1065"
"13","FB at Penrose: Crab Creek Rd","35°16'10.5""N 82°38'11.1""W","3385.0","670.0","50.0","205.0","375.0","260.0","430.0","540.0","50.0","845.0","720.0","865.0","780.0","205.0","5765.0","260.0","50.0","315.0","845.0","50.0","205.0","725.0","260.0","1395.0","365.0","610.0","370.0",NA,"260.0","790.0","155.0","50.0","260.0","100.0","205.0","430.0","1680.0","260.0","1345.0","1375.0","315.0","1440.0",NA,"50.0","150.0","205.0","50.0",NA,"3370.0","490.0","370.0","260.0","6405.0","315.0","375.0","375.0","370.0","100.0","3770.0","178.9","228.2","224.7","155.3","307.6","770.1","325.5","416.0","1553.1","2419.6","1413.6","248.9","1119.9","490.0","206.4","-","960","50.0","265","2655","-","865","50.0","-","315","1055","375"
"14","FB at Pisgah Forest","35°15'03.2""N 82°41'57.4""W","6180.0","1005.0","100.0","485.0",NA,"485.0","1475.0","3585.0","155.0","1635.0","315.0","675.0","730.0","375.0","1495.0","260.0","50.0","205.0","1155.0","375.0","720.0","2815.0","480.0","2825.0","875.0",NA,"485.0",NA,"740.0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1720","1190","100.0","555","-","750","-","260","4325","965","1140","875.0"
