"Site","Latitude","Longitude","2020-05-20","2020-05-27","2020-06-03","2020-06-10","2020-06-17","2020-06-24","2020-07-01","2020-07-08","2020-07-15","2020-07-22","2020-07-29","2020-08-05","2020-08-12","2020-08-19","2020-08-26","2020-09-02","2021-05-26","2021-06-02","2021-06-09","2021-06-16","2021-06-23","2021-06-30","2021-07-07","2021-07-14","2021-07-21","2021-07-28","2021-08-04","2021-08-11","2021-08-25","2022-05-25","2022-06-01","2022-06-08","2022-06-15","2022-06-22","2022-06-29","2022-07-06","2022-07-13","2022-07-20","2022-07-27","2022-08-03","2022-08-10","2022-08-17","2022-08-24","2022-08-31","2023-05-24","2023-05-31","2023-06-07","2023-06-14","2023-06-21","2023-06-28","2023-07-05","2023-07-12","2023-07-19","2023-07-26","2023-08-02","2023-08-09","2023-08-16","2023-08-23","2023-08-30","2024-05-22","2024-05-29","2024-06-05","2024-06-12","2024-06-19","2024-06-26","2024-07-03","2024-07-10","2024-07-17","2024-07-24","2024-07-31","2024-08-07","2024-08-14","2024-08-21","2024-08-28","2025-05-21","2025-05-28","2025-06-04","2025-06-11","2025-06-18","2025-06-25","2025-07-02","2025-07-09","2025-07-16","2025-07-23","2025-07-30","2025-08-06"
"Big Laurel",35.9125833333333,-82.7571944444445,"205.0",260,0,455,100,1155,NA,205,50,100,NA,260,155,NA,155,490,"50.0","100.0","315.0","205.0","365.0",420,430,50,205,50,100,0,NA,205,155,NA,865,50,205,360,370,100,375,260,605,915,155,NA,100,155,0,NA,NA,NA,0,NA,50,NA,NA,50,NA,155,1310,38.4,93.4,"36.8",21.1,95.9,14.5,248.9,410.6,25.3,156.5,185,16,10.9,137.4,62,"-","435.0","50.0","50.0","375","265","4670","50.0","150.0","315","315","50.0"
"Cane Creek @ Fletcher Comm Park",35.4239166666667,-82.4971666666667,"32440.0",155,945,1165,725,490,610,605,550,1155,5560,2365,915,800,855,605,"...","600.0","1750.0","550.0","315.0",430,605,205,375,1460,260,315,670,1985,NA,375,315,NA,1015,NA,12405,1495,9780,675,6665,610,1045,1565,377.5,NA,550,490,10935,790,NA,NA,NA,800,205,490,1295,260,3105,238.2,410.6,"920.8",547.5,186,238.2,488.4,387.3,1732.9,1046.2,2419.6,387.3,547.5,307.6,204.6,"3690","1720","265","685","10025","205","2140","155.0","1140","4795","855","605"
"FB at Barnard",35.83875,-82.7545555555556,"2480.0",205,50,2325,205,430,50,655,100,545,315,1395,155,NA,2140,1205,"0.0","0.0","315.0","100.0","100.0",50,100,315,425,425,255,995,NA,1140,150,NA,945,0,NA,NA,1005,NA,490,NA,1475,NA,260,155,NA,NA,NA,NA,605,100,155,725,205,0,50,600,730,50,905,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FB at Bent Creek River Park",35.5016944444444,-82.5923888888889,"2645.0",260,315,155,425,155,865,670,155,2160,1425,5230,155,605,540,720,"50.0","0.0","260.0","100.0","425.0",490,100,100,430,1005,545,317.5,205,1635,150,205,260,0,100,4180,375,2325,315,485,1920,1155,260,155,50,50,100,50,2050,50,NA,0,50,50,100,50,155,50,2215,NA,143.9,"231.0",68.3,260,37.3,NA,124.6,1413.6,980.4,2419.6,NA,88,48.8,NA,"320","2520","100.0","4425","265.0","50.0","1865","370","430","2175","-","-"
"FB at Champion Park in Rosman",35.1450833333333,-82.8258333333333,"1165.0",260,50,1005,315,100,50,NA,150,260,205,315,315,3745,260,260,"50.0","100.0","935.0","100.0","100.0",315,0,2100,50,150,0,1310,260,355,50,865,100,0,0,2970,315,0,0,100,725,NA,NA,0,50,NA,0,50,2690,NA,2630,NA,9250,50,NA,100,50,0,430,NA,39.5,"547.5",30.9,67.6,85.7,NA,107.6,87.8,686.7,98.5,21.4,70.3,23.3,NA,"5065","555","50.0","50.0","2800","155","2355","50.0","2440","725","-","50.0"
"FB at Glen Bridge Rv Park",35.4509166666667,-82.5551388888889,"2480.0",730,365,430,365,NA,NA,NA,260,NA,NA,NA,420,925,430,485,"100.0","205.0","315.0",NA,"370.0",675,50,100,720,1655,670,205,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FB at Hap Simpson",35.2175833333333,-82.7198055555556,"3585.0",605,260,545,370,480,490,1055,485,1015,420,800,430,600,925,550,"205.0","545.0","2770.0","550.0","155.0",1680,260,4795,720,480,935,610,150,1245,310,205,205,100,550,1310,660,590,NA,2175,545,730,800,NA,260,260,205,100,1920,NA,NA,NA,13015,1395,260,375,935,260,2865,193.5,410.6,"488.4",275.5,686.7,1732.9,261.3,613.1,1203.3,2419.6,547.5,488.4,1732.9,224.7,206.4,"2265","2145","155","620","-","375","-","50.0","50.0","550.0","2050","675.0"
"FB at Hominy Creek Park",35.5552777777778,-82.5909166666667,"3945.0",315,375,425,595,480,100,1065,260,610,915,8615,260,3945,8910,1230,"255.0","100.0","965.0","205.0","740.0",1080,305,100,1005,670,50,3120,155,1590,155,155,205,0,50,3100,11120,7985,205,365,1460,6110,0,155,155,155,150,NA,1555,155,855,150,865,NA,50,545,605,50,3250,201.4,488.4,"1553.1",98.4,98.5,30.1,65,2419.6,461.1,980.4,2419.6,109.5,131.4,81.3,45,"1330.0","685","50.0","1720","375","945","1155","600","155.0","1565","3795","425"
"FB at Horseshoe Boat Access",35.3441944444444,-82.5611111111111,"1460.0",1065,100,155,315,NA,800,1005,875,3585,1155,935,725,155,2880,550,"100.0","260.0","740.0","485.0","205.0",670,260,995,490,925,NA,NA,NA,NA,50,50,155,315,610,425,490,155,1615,100,490,800,430,NA,260,315,205,318,7500,205,610,205,3010,50,315,425,205,375,2520,123.6,387.3,"435.2",98.8,218.7,93.3,155.3,517.2,920.8,2419.6,NA,350,1119.9,105,58.8,"555","1035","100.0","50.0","435","150","855","100.0","2285","205","3990","800.0"
"FB at Hot Springs",35.8971111111111,-82.8256388888889,"4525.0",100,0,315,50,540,155,260,50,100,100,1080,100,155,805,1055,"100.0","0.0","490.0","0.0","150.0",50,0,100,545,790,155,365,NA,995,315,0,935,0,50,155,260,255,420,50,205,420,NA,50,0,205,0,50,155,100,0,50,205,0,0,155,260,50,480,110.6,79.4,"48.8",9.8,30.5,72.3,61.3,240,48.7,217.8,178.5,72.8,16.9,24.1,7.4,"2215","960","50.0","50.0","555","100.0","2605","100.0","155.0","0.0","310","1965"
